enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
13163,city_16,0.91,,No relevent experience,no_enrollment,High School,,2,,,never,16,1
9357,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,6,1000-4999,Pvt Ltd,1,262,0
604,city_16,0.91,Male,No relevent experience,,,,3,,,never,24,0
19033,city_16,0.91,Male,No relevent experience,no_enrollment,High School,,3,,,1,35,0
4825,city_145,0.555,Male,Has relevent experience,Full time course,Graduate,STEM,4,,,1,43,1
3759,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,2,18,0
23234,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,<10,Pvt Ltd,2,29,0
32330,city_84,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,13,50-99,Pvt Ltd,>4,122,1
22965,city_139,0.487,Male,Has relevent experience,no_enrollment,Masters,STEM,19,,,1,52,1
28416,city_160,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,10,,,2,41,0
28363,city_114,0.926,Male,Has relevent experience,Full time course,High School,,3,,,2,79,0
19664,city_10,0.895,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,30,0
3814,city_116,0.743,Male,Has relevent experience,no_enrollment,Phd,STEM,13,,,1,23,0
13966,city_64,0.666,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,1,124,0
7803,city_67,0.855,Male,No relevent experience,Part time course,Graduate,STEM,2,5000-9999,Pvt Ltd,1,46,0
28830,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,6,,,never,21,1
16371,city_11,0.55,,Has relevent experience,no_enrollment,Masters,STEM,2,<10,,1,36,1
16348,city_21,0.624,,No relevent experience,Part time course,Masters,STEM,1,<10,Public Sector,,54,0
18896,city_114,0.926,,Has relevent experience,no_enrollment,Masters,STEM,6,<10,Pvt Ltd,1,15,0
18813,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,5,,,1,140,1
4767,city_114,0.926,Male,No relevent experience,,High School,,3,,,1,22,0
3508,city_173,0.878,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,>4,98,0
17456,city_28,0.939,Male,No relevent experience,no_enrollment,High School,,5,,,1,35,0
17341,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,6,10000+,Pvt Ltd,2,125,1
28046,city_59,0.775,Female,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,3,96,1
13376,city_145,0.555,,Has relevent experience,no_enrollment,Masters,STEM,19,10000+,Pvt Ltd,2,57,1
20416,city_98,0.949,Male,Has relevent experience,no_enrollment,High School,,20,,,never,149,0
13343,city_115,0.789,Male,No relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,3,82,0
31420,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Public Sector,3,6,1
19030,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Arts,4,Oct-49,Pvt Ltd,2,45,0
28399,city_150,0.698,Male,No relevent experience,no_enrollment,High School,,2,,,never,64,0
9721,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Arts,>20,1000-4999,NGO,>4,50,1
26556,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,Other,16,50-99,Pvt Ltd,>4,62,0
19393,city_50,0.896,Male,No relevent experience,no_enrollment,Masters,Humanities,4,,,3,103,0
27493,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,1000-4999,NGO,2,5,0
15777,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Humanities,16,,,1,102,0
32031,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,Other,>20,,,>4,34,1
31117,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,,,>4,268,0
28738,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,<10,Pvt Ltd,4,16,1
8422,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Other,1,148,0
